,0
0,1.345528483390808
1,1.345207691192627
2,1.3974727392196655
3,1.1903748512268066
4,1.5398350954055786
5,1.2337565422058105
6,1.2498866319656372
7,1.382261037826538
8,1.2168304920196533
9,1.3970717191696167
10,1.1617220640182495
11,1.3618755340576172
12,1.3931288719177246
13,1.4447782039642334
14,1.521450400352478
15,1.6351503133773804
16,1.7579646110534668
17,1.8430192470550537
18,1.8735536336898804
19,1.8658812046051025
20,1.3571536540985107
21,1.3714241981506348
22,1.3878324031829834
23,1.4037734270095825
24,1.4160246849060059
25,1.425702452659607
26,1.4320402145385742
27,1.4323495626449585
28,1.4299159049987793
29,1.4262847900390625
30,1.421517252922058
31,1.4171100854873657
32,1.4137979745864868
33,1.408730149269104
34,1.4039275646209717
35,1.3996117115020752
36,1.394768238067627
37,1.390040397644043
38,1.3860878944396973
39,1.3843497037887573
40,1.3813366889953613
41,1.3780757188796997
42,1.3718796968460083
43,1.361118197441101
44,1.3446599245071411
45,1.3191090822219849
46,1.2912651300430298
47,1.2675707340240479
48,1.2609037160873413
49,1.2775533199310303
50,1.3187434673309326
51,1.366891860961914
52,1.4060132503509521
53,1.4370309114456177
54,1.4633163213729858
55,1.4775054454803467
56,1.4919803142547607
57,1.511500358581543
58,1.5278888940811157
59,1.5452221632003784
60,1.5609121322631836
61,1.577864408493042
62,1.5914371013641357
63,1.6008270978927612
64,1.600335955619812
65,1.5797390937805176
66,1.548221468925476
67,1.518741488456726
68,1.4891928434371948
69,1.4659806489944458
70,1.4446913003921509
71,1.4234659671783447
72,1.4073338508605957
73,1.3980600833892822
74,1.3917816877365112
75,1.3868204355239868
76,1.2555497884750366
77,1.3605473041534424
78,1.4909838438034058
79,1.6437002420425415
80,1.8148809671401978
81,1.848388910293579
82,1.6280134916305542
83,1.439924955368042
84,1.3739814758300781
85,1.346943974494934
86,1.335452675819397
87,1.333994746208191
88,1.339056134223938
89,1.3499306440353394
90,1.3629823923110962
91,1.370186686515808
92,1.3756015300750732
93,1.3788416385650635
94,1.3806772232055664
95,1.4213560819625854
96,1.4850934743881226
97,1.5789179801940918
98,1.706680178642273
99,1.812322735786438
100,1.8628942966461182
101,1.866192102432251
102,1.4007807970046997
103,1.4513165950775146
104,1.5222996473312378
105,1.634761929512024
106,1.7573615312576294
107,1.838948369026184
108,1.8638097047805786
109,1.423270344734192
110,1.4782118797302246
111,1.559893250465393
112,1.6789469718933105
113,1.7926064729690552
114,1.8531036376953125
115,1.8575934171676636
116,1.4435597658157349
117,1.5031107664108276
118,1.5942026376724243
119,1.7151827812194824
120,1.8148044347763062
121,1.8596910238265991
122,1.8343935012817383
123,1.4593042135238647
124,1.5255343914031982
125,1.628375768661499
126,1.7450670003890991
127,1.8314404487609863
128,1.85951566696167
129,1.4734352827072144
130,1.5479140281677246
131,1.658216118812561
132,1.7717591524124146
133,1.8458982706069946
134,1.4826229810714722
135,1.564731240272522
136,1.6831618547439575
137,1.7914563417434692
138,1.8542888164520264
139,1.4858624935150146
140,1.5788140296936035
141,1.7037298679351807
142,1.8111218214035034
143,1.8545745611190796
144,1.4851166009902954
145,1.586066722869873
146,1.7176450490951538
147,1.8231725692749023
148,1.481521487236023
149,1.5855633020401
150,1.7231128215789795
151,1.830743670463562
152,1.4732882976531982
153,1.577188491821289
154,1.7209172248840332
155,1.8312681913375854
156,1.4660807847976685
157,1.564321756362915
158,1.7081295251846313
159,1.8260588645935059
160,1.8596009016036987
161,1.4572117328643799
162,1.5471770763397217
163,1.6839076280593872
164,1.8129899501800537
165,1.4479104280471802
166,1.526403784751892
167,1.653039574623108
168,1.7879456281661987
169,1.4403765201568604
170,1.5068916082382202
171,1.6193268299102783
172,1.7522038221359253
173,1.8395884037017822
174,1.433443546295166
175,1.4914462566375732
176,1.586647629737854
177,1.7132408618927002
178,1.816704273223877
179,1.426357626914978
180,1.4790879487991333
181,1.5569260120391846
182,1.6745308637619019
183,1.7856124639511108
184,1.4192981719970703
185,1.4681947231292725
186,1.5339988470077515
187,1.634531855583191
188,1.7490215301513672
189,1.4108834266662598
190,1.4551138877868652
191,1.5165461301803589
192,1.60103440284729
193,1.7071866989135742
194,1.7985507249832153
195,1.4049880504608154
196,1.442694902420044
197,1.4974371194839478
198,1.5706415176391602
199,1.669393539428711
200,1.762999176979065
201,1.8294119834899902
202,1.399003028869629
203,1.4306401014328003
204,1.4795801639556885
205,1.543885350227356
206,1.6287968158721924
207,1.724379062652588
208,1.8015248775482178
209,1.394669771194458
210,1.4192218780517578
211,1.4609297513961792
212,1.519187092781067
213,1.5936952829360962
214,1.6799731254577637
215,1.7641850709915161
216,1.8137010335922241
217,1.3853203058242798
218,1.4072433710098267
219,1.4438356161117554
220,1.4963552951812744
221,1.5620046854019165
222,1.6394755840301514
223,1.726053237915039
224,1.7879637479782104
225,1.3737797737121582
226,1.3933964967727661
227,1.424246072769165
228,1.4712855815887451
229,1.5328871011734009
230,1.6048663854599
231,1.6872432231903076
232,1.7544865608215332
233,1.7900512218475342
234,1.762884497642517
235,1.3565824031829834
236,1.3733609914779663
237,1.3990869522094727
238,1.4407479763031006
239,1.5000061988830566
240,1.5697991847991943
241,1.6477949619293213
242,1.7219657897949219
243,1.7707360982894897
244,1.330979585647583
245,1.3483299016952515
246,1.371466040611267
247,1.409134864807129
248,1.4629544019699097
249,1.5313677787780762
250,1.610038161277771
251,1.6902011632919312
252,1.7521216869354248
253,1.7688183784484863
254,1.7220462560653687
255,1.302095651626587
256,1.318717360496521
257,1.3413382768630981
258,1.374993920326233
259,1.424899935722351
260,1.4905307292938232
261,1.5668880939483643
262,1.6504558324813843
263,1.731089472770691
264,1.7715798616409302
265,1.7415761947631836
266,1.2778791189193726
267,1.2932896614074707
268,1.314598560333252
269,1.343558669090271
270,1.3889464139938354
271,1.4479424953460693
272,1.5207821130752563
273,1.6103852987289429
274,1.7047098875045776
275,1.7692484855651855
276,1.7550525665283203
277,1.2658697366714478
278,1.2775548696517944
279,1.2932771444320679
280,1.318235993385315
281,1.3551019430160522
282,1.408180594444275
283,1.4798712730407715
284,1.5677183866500854
285,1.6726819276809692
286,1.7643572092056274
287,1.7654871940612793
288,1.6908568143844604
289,1.270311951637268
290,1.2740581035614014
291,1.2820969820022583
292,1.298751711845398
293,1.3264583349227905
294,1.37056303024292
295,1.4376091957092285
296,1.5284208059310913
297,1.647606372833252
298,1.7624481916427612
299,1.7954422235488892
300,1.709777593612671
301,1.6020517349243164
302,1.2970757484436035
303,1.2825231552124023
304,1.2805070877075195
305,1.2870134115219116
306,1.3054925203323364
307,1.3393380641937256
308,1.3963592052459717
309,1.485183596611023
310,1.6173818111419678
311,1.7620913982391357
312,1.8156439065933228
313,1.7291481494903564
314,1.6133259534835815
315,1.5190749168395996
316,1.3325567245483398
317,1.3068050146102905
318,1.2889578342437744
319,1.2847718000411987
320,1.291185736656189
321,1.313769817352295
322,1.3642939329147339
323,1.449223279953003
324,1.5873481035232544
325,1.755531668663025
326,1.8366787433624268
327,1.7531452178955078
328,1.6296178102493286
329,1.5267653465270996
330,1.4532136917114258
331,1.373138189315796
332,1.3378291130065918
333,1.3105652332305908
334,1.2920584678649902
335,1.2851464748382568
336,1.2974478006362915
337,1.3351882696151733
338,1.4150208234786987
339,1.5513668060302734
340,1.742031216621399
341,1.8433805704116821
342,1.770876169204712
343,1.640133261680603
344,1.5397089719772339
345,1.4071519374847412
346,1.370894432067871
347,1.3396800756454468
348,1.3099591732025146
349,1.2932040691375732
350,1.2923634052276611
351,1.3208763599395752
352,1.3927026987075806
353,1.529659628868103
354,1.7342357635498047
