,0
29696,3.118947982788086
29697,2.114436149597168
29698,2.9288203716278076
29699,3.0430636405944824
29700,2.1955268383026123
29701,2.604630708694458
29702,2.542571544647217
29703,2.525724172592163
29704,2.9588875770568848
29705,2.650848150253296
29706,3.6363987922668457
29707,3.2274086475372314
29708,3.289088726043701
29709,3.2405076026916504
29710,3.0141100883483887
29711,2.6182029247283936
29712,2.1977477073669434
29713,1.883811593055725
29714,1.7723445892333984
29715,1.8017586469650269
29716,3.172825336456299
29717,3.2177231311798096
29718,3.2498886585235596
29719,3.256195068359375
29720,3.250455141067505
29721,3.237208843231201
29722,3.2256696224212646
29723,3.202202558517456
29724,3.183350086212158
29725,3.1756250858306885
29726,3.164095163345337
29727,3.1644742488861084
29728,3.147812604904175
29729,3.1020188331604004
29730,3.0483901500701904
29731,3.0199646949768066
29732,3.0262434482574463
29733,3.0644381046295166
29734,3.1150386333465576
29735,3.132153272628784
29736,3.1368651390075684
29737,3.123271942138672
29738,3.089660882949829
29739,3.038766860961914
29740,2.97066593170166
29741,2.8748857975006104
29742,2.759807825088501
29743,2.635221481323242
29744,2.510371685028076
29745,2.3911983966827393
29746,2.3062989711761475
29747,2.228513717651367
29748,2.1181223392486572
29749,1.9918560981750488
29750,1.8875261545181274
29751,1.8614023923873901
29752,1.933416485786438
29753,2.0375750064849854
29754,2.095211982727051
29755,2.096806526184082
29756,2.0782363414764404
29757,2.0848374366760254
29758,2.138404130935669
29759,2.226879596710205
29760,2.3179705142974854
29761,2.409696102142334
29762,2.5013108253479004
29763,2.597659111022949
29764,2.6592178344726562
29765,2.691845417022705
29766,2.6986966133117676
29767,2.686978816986084
29768,2.685443162918091
29769,2.641417980194092
29770,2.597026824951172
29771,2.5611023902893066
29772,2.500312328338623
29773,2.515604257583618
29774,2.3261139392852783
29775,2.0315871238708496
29776,1.8450841903686523
29777,1.8153740167617798
29778,2.043889045715332
29779,2.569499969482422
29780,2.9607343673706055
29781,3.1345269680023193
29782,3.1773126125335693
29783,3.1140284538269043
29784,2.9998342990875244
29785,2.875483274459839
29786,2.7747366428375244
29787,2.710989236831665
29788,2.65385103225708
29789,2.6017744541168213
29790,2.554525852203369
29791,3.2715299129486084
29792,3.2659502029418945
29793,3.1399123668670654
29794,2.826596975326538
29795,2.4008166790008545
29796,2.030674934387207
29797,1.846006989479065
29798,1.8530259132385254
29799,1.7721383571624756
29800,3.2715513706207275
29801,3.2242252826690674
29802,3.029247760772705
29803,2.666811466217041
29804,2.258295774459839
29805,1.9787371158599854
29806,1.9187833070755005
29807,1.875319480895996
29808,3.257378101348877
29809,3.159205436706543
29810,2.9148988723754883
29811,2.537923812866211
29812,2.1841373443603516
29813,2.025982618331909
29814,1.987214207649231
29815,1.6947779655456543
29816,3.2284374237060547
29817,3.0982987880706787
29818,2.8076364994049072
29819,2.4397988319396973
29820,2.179668664932251
29821,2.102757692337036
29822,1.9223285913467407
29823,3.1892426013946533
29824,3.0259740352630615
29825,2.701951742172241
29826,2.3912482261657715
29827,2.2273647785186768
29828,2.121075391769409
29829,3.153043270111084
29830,2.938445806503296
29831,2.6194560527801514
29832,2.367795944213867
29833,2.2655951976776123
29834,2.0448429584503174
29835,3.104430675506592
29836,2.860398054122925
29837,2.5529446601867676
29838,2.3670599460601807
29839,2.2685580253601074
29840,3.058807373046875
29841,2.7845723628997803
29842,2.5053458213806152
29843,2.3727781772613525
29844,2.2297332286834717
29845,3.018730640411377
29846,2.720855236053467
29847,2.472748279571533
29848,2.358527421951294
29849,2.1811957359313965
29850,2.9867608547210693
29851,2.682260751724243
29852,2.4428648948669434
29853,2.3353171348571777
29854,2.9743175506591797
29855,2.671652317047119
29856,2.431832790374756
29857,2.315603494644165
29858,3.005234479904175
29859,2.7139408588409424
29860,2.4498965740203857
29861,2.3257992267608643
29862,3.0399301052093506
29863,2.78642201423645
29864,2.515380620956421
29865,2.3638534545898438
29866,2.1953248977661133
29867,3.0548348426818848
29868,2.860729455947876
29869,2.595534086227417
29870,2.419217109680176
29871,3.0419821739196777
29872,2.9078965187072754
29873,2.6838412284851074
29874,2.4857311248779297
29875,2.3154382705688477
29876,3.0232903957366943
29877,2.943786859512329
29878,2.752206802368164
29879,2.5457866191864014
29880,2.3664236068725586
29881,3.0367653369903564
29882,2.965514898300171
29883,2.813901901245117
29884,2.6152212619781494
29885,2.4353713989257812
29886,3.0723886489868164
29887,3.0132389068603516
29888,2.8744239807128906
29889,2.6820688247680664
29890,2.4888410568237305
29891,2.326732635498047
29892,3.1214756965637207
29893,3.0717051029205322
29894,2.943742036819458
29895,2.7549517154693604
29896,2.5470244884490967
29897,2.389139413833618
29898,2.251349449157715
29899,3.1400017738342285
29900,3.1088926792144775
29901,3.0070321559906006
29902,2.8214969635009766
29903,2.618673086166382
29904,2.4446165561676025
29905,2.3298003673553467
29906,2.209120988845825
29907,3.127882957458496
29908,3.1047470569610596
29909,3.031207799911499
29910,2.880140542984009
29911,2.6755809783935547
29912,2.501863479614258
29913,2.3863916397094727
29914,2.310549736022949
29915,3.1035404205322266
29916,3.0768942832946777
29917,3.0266902446746826
29918,2.9041168689727783
29919,2.7310874462127686
29920,2.548740863800049
29921,2.439927816390991
29922,2.3843026161193848
29923,3.065661668777466
29924,3.0334341526031494
29925,2.992295265197754
29926,2.899284839630127
29927,2.7517623901367188
29928,2.593005418777466
29929,2.4867286682128906
29930,2.4251856803894043
29931,2.3818795680999756
29932,2.318493366241455
29933,3.01485013961792
29934,2.9899213314056396
29935,2.9566757678985596
29936,2.8750641345977783
29937,2.7498085498809814
29938,2.6007769107818604
29939,2.497741460800171
29940,2.441526412963867
29941,2.4233663082122803
29942,2.387382745742798
29943,2.9683258533477783
29944,2.960085391998291
29945,2.93100905418396
29946,2.86332106590271
29947,2.745378017425537
29948,2.5856876373291016
29949,2.476473808288574
29950,2.4282023906707764
29951,2.4157824516296387
29952,2.410457134246826
29953,2.9012415409088135
29954,2.9118242263793945
29955,2.9027533531188965
29956,2.8477108478546143
29957,2.725119113922119
29958,2.5731163024902344
29959,2.4379661083221436
29960,2.367004871368408
29961,2.3687961101531982
29962,2.378974676132202
29963,2.373694658279419
29964,2.7992889881134033
29965,2.8351972103118896
29966,2.851447582244873
29967,2.811002492904663
29968,2.698242664337158
29969,2.5402519702911377
29970,2.3808584213256836
29971,2.28627872467041
29972,2.2838127613067627
29973,2.308387517929077
29974,2.3207321166992188
29975,2.699829578399658
29976,2.7573227882385254
29977,2.7875006198883057
29978,2.7682950496673584
29979,2.6676430702209473
29980,2.489980459213257
29981,2.307467222213745
29982,2.1849358081817627
29983,2.150729179382324
29984,2.175401449203491
29985,2.2198781967163086
29986,2.3009531497955322
29987,2.6072216033935547
29988,2.68192720413208
29989,2.7299492359161377
29990,2.7104930877685547
29991,2.6113219261169434
29992,2.4285738468170166
29993,2.22756290435791
29994,2.072596788406372
29995,2.007599115371704
29996,2.0162510871887207
29997,2.0985867977142334
29998,2.23163104057312
29999,2.339684247970581
30000,2.5190553665161133
30001,2.6097004413604736
30002,2.654116630554199
30003,2.6418375968933105
30004,2.541964292526245
30005,2.3594095706939697
30006,2.145186185836792
30007,1.9766532182693481
30008,1.8834704160690308
30009,1.8732541799545288
30010,1.9801324605941772
30011,2.1517653465270996
30012,2.299997329711914
30013,2.3788669109344482
30014,2.431534767150879
30015,2.5151894092559814
30016,2.565417528152466
30017,2.5611484050750732
30018,2.479574203491211
30019,2.295048236846924
30020,2.0818443298339844
30021,1.8999027013778687
30022,1.7775404453277588
30023,1.7560497522354126
30024,1.8682652711868286
30025,2.071100950241089
30026,2.260371685028076
30027,2.3640971183776855
30028,2.4268903732299805
30029,2.3324434757232666
30030,2.423156976699829
30031,2.464653730392456
30032,2.4753756523132324
30033,2.409722328186035
30034,2.242103099822998
30035,2.0297772884368896
30036,1.8381520509719849
30037,1.703287959098816
30038,1.665684461593628
30039,1.7808523178100586
30040,2.0079474449157715
30041,2.2173848152160645
30042,2.344088315963745
30043,2.437709331512451
30044,2.2141292095184326
30045,2.318242311477661
30046,2.3773677349090576
30047,2.406947135925293
30048,2.359851598739624
30049,2.208064556121826
30050,2.0005037784576416
30051,1.80386483669281
30052,1.6622636318206787
30053,1.6155065298080444
30054,1.7116172313690186
30055,1.935741662979126
30056,2.159724235534668
30057,2.3189656734466553
30058,2.4341776371002197
30059,2.0902180671691895
30060,2.201160192489624
30061,2.296682357788086
30062,2.348357677459717
30063,2.3194193840026855
30064,2.189422845840454
30065,1.9876171350479126
30066,1.794630765914917
30067,1.6536545753479004
30068,1.5899968147277832
30069,1.6683998107910156
30070,1.874962568283081
30071,2.1076204776763916
30072,2.2825121879577637
30073,2.4312756061553955
30074,1.9870952367782593
30075,2.102620840072632
30076,2.207972526550293
30077,2.273648500442505
30078,2.2739036083221436
30079,2.171862840652466
30080,1.9990869760513306
30081,1.8224928379058838
30082,1.6844098567962646
30083,1.611979365348816
30084,1.6497395038604736
30085,1.8320778608322144
30086,2.0527966022491455
30087,2.243370294570923
30088,2.4136886596679688
30089,2.5467097759246826
30090,1.9372674226760864
30091,2.0218541622161865
30092,2.103698968887329
30093,2.1865551471710205
30094,2.216146945953369
30095,2.155827522277832
30096,2.027869462966919
30097,1.8788652420043945
30098,1.7545466423034668
30099,1.674108624458313
30100,1.6637539863586426
30101,1.7875339984893799
