,parcellation_group,corrected_thickness,curvature,myelin_map,smoothed_myelin_map,sulcal_depth,thickness
40171,42,2.289961576461792,0.06704676896333694,1.25714111328125,1.2567774057388306,0.43325531482696533,2.3143577575683594
40172,39,2.275252342224121,0.0706150084733963,1.2573562860488892,1.2563055753707886,0.4561145007610321,2.3041117191314697
40173,39,2.2643253803253174,0.07708070427179337,1.256195068359375,1.2564141750335693,0.47906261682510376,2.297036647796631
40174,39,2.2529420852661133,0.08974990248680115,1.2567602396011353,1.257539987564087,0.5014315247535706,2.3006997108459473
40175,13,2.169311761856079,0.021463867276906967,1.4851104021072388,1.4873825311660767,0.11378513276576996,2.1511895656585693
40176,13,2.172628164291382,-0.0008966285386122763,1.5037744045257568,1.5049800872802734,0.10361745208501816,2.132493495941162
40177,13,2.174572706222534,0.001951565034687519,1.519720196723938,1.5204105377197266,0.13390010595321655,2.139394521713257
40178,13,2.193347692489624,0.019160103052854538,1.5318089723587036,1.528507947921753,0.19615201652050018,2.1715667247772217
40179,13,2.22985577583313,0.049913190305233,1.5274039506912231,1.5246500968933105,0.28159433603286743,2.2371485233306885
40180,13,2.2680845260620117,0.07466328889131546,1.5158922672271729,1.5143972635269165,0.3619030714035034,2.299248218536377
40181,13,2.3122665882110596,0.0825861319899559,1.5049164295196533,1.5002890825271606,0.4215482473373413,2.3502368927001953
40182,16,2.3434672355651855,0.07850537449121475,1.4818391799926758,1.477401614189148,0.4503278136253357,2.376453161239624
40183,16,2.340099811553955,0.08478575944900513,1.439635992050171,1.4407191276550293,0.4683990478515625,2.3777835369110107
40184,16,2.3154754638671875,0.09533650428056717,1.4108245372772217,1.412162184715271,0.47451052069664,2.365987539291382
40185,16,2.3000845909118652,0.10233744233846664,1.40265953540802,1.4025590419769287,0.469306081533432,2.3564367294311523
40186,152,2.2996771335601807,0.10830128937959671,1.4062402248382568,1.4039812088012695,0.4506004750728607,2.3624789714813232
40187,17,2.3005447387695312,0.11148799955844879,1.4133836030960083,1.408185601234436,0.4213847517967224,2.3639137744903564
40188,17,2.3172221183776855,0.11010371148586273,1.4080538749694824,1.4033851623535156,0.38259491324424744,2.379848003387451
40189,17,2.3250818252563477,0.10411133617162704,1.3928781747817993,1.3902311325073242,0.3360344171524048,2.3800461292266846
40190,17,2.329775333404541,0.09044432640075684,1.3736878633499146,1.3732163906097412,0.28237098455429077,2.374269485473633
40191,17,2.3277671337127686,0.07305656373500824,1.3589903116226196,1.3592548370361328,0.2351536750793457,2.3539247512817383
40192,142,2.3305282592773438,0.05474509671330452,1.353053092956543,1.3533415794372559,0.20278704166412354,2.336911201477051
40193,50,2.32836651802063,0.042488016188144684,1.3529554605484009,1.3523002862930298,0.18871113657951355,2.32507061958313
40194,46,2.3271467685699463,0.03510667011141777,1.3514153957366943,1.3510373830795288,0.19238752126693726,2.3192358016967773
