,parcellation_group,corrected_thickness,curvature,myelin_map,smoothed_myelin_map,sulcal_depth,thickness
0,35,3.0200653076171875,0.09677249193191528,1.345528483390808,1.3478398323059082,-0.08918177336454391,3.077756404876709
1,52,2.1059489250183105,-0.03733265399932861,1.345207691192627,1.345432996749878,-0.052416812628507614,2.0348689556121826
2,12,2.8718578815460205,0.1519993096590042,1.3974727392196655,1.3980414867401123,0.5128414630889893,2.971222400665283
3,26,2.9366374015808105,0.12652306258678436,1.1903748512268066,1.1904895305633545,0.6263312101364136,3.014627456665039
4,13,2.15926194190979,0.006709779612720013,1.5398350954055786,1.538544774055481,-0.06515400856733322,2.1242403984069824
5,149,2.5498344898223877,0.06975176930427551,1.2337565422058105,1.2344845533370972,0.38486963510513306,2.575185775756836
6,85,2.520642042160034,0.048015985637903214,1.2498866319656372,1.2490087747573853,0.042772483080625534,2.522075653076172
7,153,2.521394968032837,-0.032437875866889954,1.382261037826538,1.3817105293273926,-0.46295401453971863,2.453946590423584
8,133,2.933183431625366,0.023002542555332184,1.2168304920196533,1.2164256572723389,0.1648583859205246,2.9137325286865234
9,102,2.6832566261291504,-0.10995399206876755,1.3970717191696167,1.4019776582717896,-1.3920177221298218,2.544987440109253
10,131,3.8566701412200928,-0.028842171654105186,1.1617220640182495,1.1633399724960327,0.024209531024098396,3.789288282394409
11,34,3.1283321380615234,0.1166856661438942,1.3618755340576172,1.3663032054901123,-0.00527690164744854,3.202624797821045
12,34,3.177039384841919,0.13372816145420074,1.3931288719177246,1.4008634090423584,0.07438833266496658,3.259683847427368
13,34,3.0855300426483154,0.1509046107530594,1.4447782039642334,1.456608533859253,0.1330581158399582,3.180994749069214
14,34,2.8267555236816406,0.1671128123998642,1.521450400352478,1.5372872352600098,0.16664473712444305,2.933875799179077
15,14,2.4364683628082275,0.1561272144317627,1.6351503133773804,1.637551188468933,0.15457747876644135,2.5375587940216064
16,14,2.0730674266815186,0.10341645777225494,1.7579646110534668,1.7311455011367798,0.10818726569414139,2.123749256134033
17,14,1.848757266998291,0.009814685210585594,1.8430192470550537,1.7957823276519775,0.05065525695681572,1.8116600513458252
18,14,1.8374282121658325,-0.10698495805263519,1.8735536336898804,1.822527289390564,-0.008513794280588627,1.6920052766799927
19,14,1.9617283344268799,-0.22663567960262299,1.8658812046051025,1.8126882314682007,-0.09458927065134048,1.7056185007095337
20,34,3.0440316200256348,0.12494482100009918,1.3571536540985107,1.3598681688308716,-0.03130457550287247,3.123839855194092
21,34,3.0716278553009033,0.14722463488578796,1.3714241981506348,1.3751188516616821,0.023756414651870728,3.1738555431365967
22,34,3.0968687534332275,0.15737980604171753,1.3878324031829834,1.3910210132598877,0.06771878898143768,3.2060723304748535
23,34,3.118934154510498,0.15566213428974152,1.4037734270095825,1.406388521194458,0.10266535729169846,3.225273847579956
24,34,3.1316452026367188,0.1511813849210739,1.4160246849060059,1.419718623161316,0.12557482719421387,3.2342047691345215
25,34,3.131195545196533,0.14164772629737854,1.425702452659607,1.4304136037826538,0.1370394080877304,3.226113796234131
26,34,3.1235814094543457,0.13082852959632874,1.4320402145385742,1.4372317790985107,0.14395281672477722,3.207368850708008
27,34,3.1269125938415527,0.11802355200052261,1.4323495626449585,1.44037926197052,0.14699240028858185,3.198166847229004
28,33,3.1348447799682617,0.09938105940818787,1.4299159049987793,1.4392064809799194,0.14914797246456146,3.1909754276275635
29,33,3.13930344581604,0.07538644969463348,1.4262847900390625,1.4369513988494873,0.15111161768436432,3.1713507175445557
30,33,3.156338930130005,0.04904874414205551,1.421517252922058,1.43247389793396,0.15978842973709106,3.1600935459136963
31,33,3.163506269454956,0.02561541646718979,1.4171100854873657,1.4275038242340088,0.1822003424167633,3.1475601196289062
32,33,3.17492938041687,0.011900389567017555,1.4137979745864868,1.4223827123641968,0.22225990891456604,3.14670467376709
