,0
29696,3.0677082538604736
29697,2.160672187805176
29698,2.8629982471466064
29699,2.9698917865753174
29700,2.225339412689209
29701,2.5835533142089844
29702,2.553323745727539
29703,2.5888473987579346
29704,2.9802253246307373
29705,2.8035826683044434
29706,3.7114500999450684
29707,3.161374807357788
29708,3.2049720287323
29709,3.145612955093384
29710,2.8984007835388184
29711,2.509783983230591
29712,2.1352100372314453
29713,1.9064645767211914
29714,1.9081745147705078
29715,2.0593655109405518
29716,3.098111152648926
29717,3.1275086402893066
29718,3.1515848636627197
29719,3.156564950942993
29720,3.150163412094116
29721,3.142207384109497
29722,3.1352570056915283
29723,3.127779960632324
29724,3.127493381500244
29725,3.1457908153533936
29726,3.1571624279022217
29727,3.1724557876586914
29728,3.155975580215454
29729,3.0789427757263184
29730,2.9849369525909424
29731,2.9255881309509277
29732,2.9199442863464355
29733,2.9773502349853516
29734,3.0514516830444336
29735,3.0896377563476562
29736,3.104024887084961
29737,3.0967676639556885
29738,3.06703782081604
29739,3.0317153930664062
29740,2.982595920562744
29741,2.906787395477295
29742,2.813683032989502
29743,2.711843490600586
29744,2.617103099822998
29745,2.5290791988372803
29746,2.4694669246673584
29747,2.4070239067077637
29748,2.2976932525634766
29749,2.1617891788482666
29750,2.0400590896606445
29751,1.992577075958252
29752,2.041107654571533
29753,2.1185269355773926
29754,2.1475398540496826
29755,2.1214921474456787
29756,2.0647165775299072
29757,2.0286028385162354
29758,2.0316665172576904
29759,2.083808660507202
29760,2.177694797515869
29761,2.3040945529937744
29762,2.442361831665039
29763,2.5726306438446045
29764,2.6622583866119385
29765,2.705329179763794
29766,2.7183611392974854
29767,2.7019519805908203
29768,2.6953063011169434
29769,2.6685709953308105
29770,2.63446044921875
29771,2.611781120300293
29772,2.6216444969177246
29773,2.5988266468048096
29774,2.3702921867370605
29775,2.036409854888916
29776,1.8071434497833252
29777,1.7235069274902344
29778,1.9146653413772583
29779,2.442293882369995
29780,2.874279022216797
29781,3.1049208641052246
29782,3.183382272720337
29783,3.1386029720306396
29784,3.0273656845092773
29785,2.911273717880249
29786,2.8161659240722656
29787,2.759176254272461
